Episodes,Emition_Date,Users,Rank,Title,Score
TV (35 eps),Oct 1995 - Jun 1996,"11,243",1850,Virtua Fighter,7.10
TV (13 eps),May 2006 - Aug 2006,"48,056",1851,Kamisama Kazoku,7.10
TV (12 eps),Oct 2023 - Dec 2023,"95,838",1852,Kikansha no Mahou wa Tokubetsu desu,7.10
TV (24 eps),Apr 2000 - Sep 2000,"264,589",1853,Love Hina,7.10
TV (50 eps),Jan 1982 - Dec 1982,"2,718",1854,Minami no Niji no Lucy,7.10
TV (? eps),Apr 1993 -,"7,511",1855,Nintama Rantarou,7.10
TV (26 eps),Oct 2016 - Mar 2017,"26,837",1856,Nobunaga no Shinobi,7.10
TV (39 eps),Apr 1985 - Feb 1986,"1,272",1857,Onegai! Samia Don,7.10
TV (12 eps),Jan 2002 - Mar 2002,"175,982",1858,Onegai☆Teacher,7.10
TV (52 eps),Jul 1990 - Oct 1992,"8,908",1859,Robin Hood no Daibouken,7.10
TV (12 eps),Apr 2016 - Jun 2016,"62,758",1860,Sansha Sanyou,7.10
TV (12 eps),Jul 2023 - Sep 2023,"92,922",1861,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",7.10
TV (12 eps),Apr 2022 - Jun 2022,"36,385",1862,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,7.10
TV (12 eps),Oct 2020 - Dec 2020,"188,508",1863,Adachi to Shimamura,7.10
TV (24 eps),Apr 2002 - Sep 2002,"110,456",1864,Ai Yori Aoshi,7.10
TV (12 eps),Apr 2017 - Jun 2017,"117,804",1865,Alice to Zouroku,7.10
TV (11 eps),Jul 2009 - Sep 2009,"99,586",1866,Aoi Hana,7.10
TV (12 eps),Apr 2021 - Jun 2021,"100,041",1867,Bishounen Tanteidan,7.10
TV (49 eps),Feb 2004 - Jan 2005,"50,142",1868,Futari wa Precure,7.10
TV (10 eps),Jan 2008 - Mar 2008,"37,555",1869,Hatenkou Yuugi,7.10
